Country,Code,Date,Confirmed,Days since confirmed
Afghanistan,AFG,2020-01-02,0.0,-98.0
Afghanistan,AFG,2020-01-03,0.0,-97.0
Afghanistan,AFG,2020-01-04,0.0,-96.0
Afghanistan,AFG,2020-01-05,0.0,-95.0
Afghanistan,AFG,2020-01-06,0.0,-94.0
Afghanistan,AFG,2020-01-07,0.0,-93.0
Afghanistan,AFG,2020-01-08,0.0,-92.0
Afghanistan,AFG,2020-01-09,0.0,-91.0
Afghanistan,AFG,2020-01-10,0.0,-90.0
Afghanistan,AFG,2020-01-11,0.0,-89.0
Afghanistan,AFG,2020-01-12,0.0,-88.0
Afghanistan,AFG,2020-01-13,0.0,-87.0
Afghanistan,AFG,2020-01-14,0.0,-86.0
Afghanistan,AFG,2020-01-15,0.0,-85.0
Afghanistan,AFG,2020-01-16,0.0,-84.0
Afghanistan,AFG,2020-01-17,0.0,-83.0
Afghanistan,AFG,2020-01-18,0.0,-82.0
Afghanistan,AFG,2020-01-19,0.0,-81.0
Afghanistan,AFG,2020-01-20,0.0,-80.0
Afghanistan,AFG,2020-01-21,0.0,-79.0
Afghanistan,AFG,2020-01-22,0.0,-78.0
Afghanistan,AFG,2020-01-23,0.0,-77.0
Afghanistan,AFG,2020-01-24,0.0,-76.0
Afghanistan,AFG,2020-01-25,0.0,-75.0
Afghanistan,AFG,2020-01-26,0.0,-74.0
Afghanistan,AFG,2020-01-27,0.0,-73.0
Afghanistan,AFG,2020-01-28,0.0,-72.0
Afghanistan,AFG,2020-01-29,0.0,-71.0
Afghanistan,AFG,2020-01-30,0.0,-70.0
Afghanistan,AFG,2020-01-31,0.0,-69.0
Afghanistan,AFG,2020-02-01,0.0,-68.0
Afghanistan,AFG,2020-02-02,0.0,-67.0
Afghanistan,AFG,2020-02-03,0.0,-66.0
Afghanistan,AFG,2020-02-04,0.0,-65.0
Afghanistan,AFG,2020-02-05,0.0,-64.0
Afghanistan,AFG,2020-02-06,0.0,-63.0
Afghanistan,AFG,2020-02-07,0.0,-62.0
Afghanistan,AFG,2020-02-08,0.0,-61.0
Afghanistan,AFG,2020-02-09,0.0,-60.0
Afghanistan,AFG,2020-02-10,0.0,-59.0
Afghanistan,AFG,2020-02-11,0.0,-58.0
Afghanistan,AFG,2020-02-12,0.0,-57.0
Afghanistan,AFG,2020-02-13,0.0,-56.0
Afghanistan,AFG,2020-02-14,0.0,-55.0
Afghanistan,AFG,2020-02-15,0.0,-54.0
Afghanistan,AFG,2020-02-16,0.0,-53.0
Afghanistan,AFG,2020-02-17,0.0,-52.0
